Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
F2MP14-3-Power_Factor_Total,K0102,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-KWh,K0103,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Energy,K0104,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Voltage_1,K0105,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Voltage_2,K0106,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Voltage_3,K0107,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Voltage_N,K0108,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Current_1,K0109,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Current_2,K0110,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Current_3,K0111,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Current_AVG,K0112,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Power_1,K0113,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Power_2,K0114,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Power_3,K0115,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Power_Factor_1,K0116,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Power_Factor_2,K0117,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Power_Factor_3,K0118,Float,1,R/W,100,,,,,,,,,,,
F2MP14-4-Power_Factor_Total,K0119,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-KWh,K0120,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Energy,K0121,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Voltage_1,K0122,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Voltage_2,K0123,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Voltage_3,K0124,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Voltage_N,K0125,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Current_1,K0126,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Current_2,K0127,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Current_3,K0128,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Current_AVG,K0129,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Power_1,K0130,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Power_2,K0131,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Power_3,K0132,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Power_Factor_1,K0133,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Power_Factor_2,K0134,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Power_Factor_3,K0135,Float,1,R/W,100,,,,,,,,,,,
F2MP15-2-Power_Factor_Total,K0136,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-KWh,K0137,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Energy,K0138,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Voltage_1,K0139,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Voltage_2,K0140,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Voltage_3,K0141,Float,1,R/W,100,,,,,,,,,,,
